Index,X,Y,Z
0,1.07047,2.75155,-0.532026
1,-1.07047,2.75155,-0.532026
2,1.73205,1.37174,-2.02936
3,-1.73205,1.37174,-2.02936
4,-1.73205,2.02936,1.37174
5,1.73205,2.02936,1.37174
6,0,1.58303,2.54834
7,0,-0.518974,2.95477
8,2.80252,0.203216,1.051
9,2.80252,-0.203216,-1.051
10,0,0.518974,-2.95477
11,0,-1.58303,-2.54834
12,-2.80252,-0.203216,-1.051
13,-2.80252,0.203216,1.051
14,1.73205,-2.02936,-1.37174
15,-1.73205,-2.02936,-1.37174
16,-1.73205,-1.37174,2.02936
17,1.73205,-1.37174,2.02936
18,1.07047,-2.75155,0.532026
19,-1.07047,-2.75155,0.532026
20,0,2.80496,1.06405
21,0,2.20613,-2.03297
22,2.55195,1.54851,-0.299412
23,-2.55195,1.54851,-0.299412
24,1.57719,0.48446,2.50555
25,1.57719,-0.48446,-2.50555
26,-1.57719,-0.48446,-2.50555
27,-1.57719,0.48446,2.50555
28,2.55195,-1.54851,0.299412
29,-2.55195,-1.54851,0.299412
30,0,-2.20613,2.03297
31,0,-2.80496,-1.06405
